genreId,movieId
"41","HCP6",
"29","HCP6",
"32","MBr10",
"34","HCP5",
"59","DeJ32",
"25","DeJ30",
"33","StN10",
"33","MMr10",
"25","TG42",
"39","WRe40",
"37","Z9830",
"33","BSc11",
"26","FGi10",
"26","GTz10",
"56","SE1",
"35","HBn5",
"25","SE3",
"29","LVa10",
"33","LVa10",
"25","KvB10",
"26","DeJ28",
"26","SE4",
"37","HBn8",
"33","SE6",
"33","SE8",
"25","DeJ20",
"25","GTi10",
"25","FNK2",
"26","LVa12",
"27","BSc28",
"25","FNK6",
"26","IF135",
"29","TG32",
"32","SRm10",
"40","SRm10",
"25","Z9845",
"32","TG30",
"41","BSc20",
"29","WiW30",
"32","MBr19",
"35","Z9840",
"39","WRe35",
"41","BSc25",
"32","MBr14",
"28","HCP1",
"37","TG39",
"28","HCP4",
"39","WRe38",
"37","DeJ10",
"33","CBl73",
"28","WiF10",
"32","WiF10",
"33","CBl70",
"29","RbR1",
"91","BE2",
"91","BE1",
"28","BE4",
"32","BE4",
"91","BE3",
"45","WiW27",
"32","BE6",
"91","BE5",
"37","WiW25",
"32","BE8",
"32","BE7",
"28","RbR2",
"27","BE9",
"28","RbR3",
"39","WRe20",
"37","WiW20",
"25","J2B70",
"25","Z9850",
"35","IMz10",
"39","WRe25",
"25","DeJ18",
"25","OtV10",
"33","CBl80",
"26","BSt10",
"29","GM190",
"28","BSt15",
"25","BF5",
"25","MRa1",
"25","MRa2",
"41","BF7",
"25","MRa3",
"41","BF6",
"29","BF6",
"41","BF9",
"26","BF9",
"29","BF8",
"60","SiN10",
"37","HyM10",
"39","HyM10",
"25","Z9865",
"39","WRe10",
"27","WiW12",
"26","RA22",
"29","CWi10",
"35","IMi10",
"37","NCo11",
"25","WaC1",
"37","NCo10",
"25","MBa32",
"25","FL46.",
"25","Z9870",
"33","CBl67",
"26","NPS25",
"33","CBl60",
"41","RA10",
"26","RA10",
"26","WHW10",
"26","SHp13",
"25","HSt1",
"26","ESP40",
"35","SHp10",
"26","MoB10",
"25","ESP34",
"25","ESP33",
"26","RA19",
"25","ESP32",
"25","ESP31",
"41","RA17",
"25","MBa40",
"41","RA15",
"26","HeW1",
"45","HeW5",
"25","RtC10",
"28","ARw12",
"25","ARw10",
"25","Z9880",
"26","NPS20",
"33","CBl69",
"26","NPS10",
"33","CBl35",
"26","BRf4",
"26","MMa10",
"25","LJo10",
"33","CBl32",
"26","BRf2",
"28","BRf1",
"26","NPS15",
"33","CBl30",
"40","JZi10",
"40","DHL1",
"25","ESP30",
"25","MBa15",
"40","DHL6",
"36","WWn100",
"26","ESP27",
"26","ESP26",
"26","ESP25",
"36","WWn101",
"25","MBa10",
"25","SK1",
"26","SK3",
"26","PmR1",
"26","Z9895",
"26","ESP28",
"34","SK2",
"42","SK5",
"26","MBr25",
"25","SK4",
"26","SK6",
"32","AuJ10",
"25","Z9890",
"32","SK8",
"36","BuK5",
"36","BuK3",
"25","BuK2",
"33","CBl40",
"32","SSu5",
"26","CLi10",
"32","MBa27",
"36","ESP12",
"26","xMe10",
"36","ESP11",
"25","MRe5",
"32","ESP10",
"25","MBa25",
"32","MRe7",
"25","ESP16",
"26","TVb10",
"25","FrD10",
"26","SL1",
"25","SL4",
"25","ESP17",
"25","HBu5",
"28","SL3",
"25","HBu8",
"26","SL5",
"25","SL8",
"26","SL7",
"25","SL9",
"33","BbM10",
"33","WeK10",
"26","EL21",
"32","ArH210",
"40","ArH210",
"27","SSi115",
"25","ArH211",
"35","BoS70",
"25","LHz30",
"32","EL28",
"35","ArH215",
"32","ArH215",
"26","EL29",
"32","ArH207",
"41","RoE10",
"35","JlC4",
"26","TFd10",
"25","ArH208",
"26","ArH205",
"28","RBB10",
"26","VyK10",
"27","BoS61",
"35","JlC7",
"32","SM1",
"25","ArH209",
"27","BoS62",
"32","SM3",
"26","VyK15",
"33","BbM19",
"33","SM4",
"26","SM7",
"32","SM6",
"45","SM6",
"28","RMu50",
"25","xSx10",
"26","VyK13",
"25","SM8",
"33","BbM22",
"40","DPo15",
"33","CBl20",
"28","RBS15",
"32","ILf10",
"28","ArH220",
"26","BoS80",
"25","ArH225",
"26","EL19",
"25","JCw16",
"26","ArH218",
"38","BoS75",
"32","ArH216",
"26","ArH217",
"28","RMu46",
"33","CBl26",
"26","RMu41",
"33","CBl25",
"26","SCa10",
"26","RcB13",
"32","ByP10",
"26","EL40",
"26","RcB12",
"25","EL41",
"25","PRo30",
"26","RcB15",
"28","EL42",
"26","RcB14",
"36","RcB17",
"28","EL44",
"41","EL44",
"25","RcB16",
"25","RcB19",
"25","JCw51",
"32","EL46",
"26","RcB18",
"32","JCw50",
"28","EL48",
"25","EL49",
"28","JJB1",
"27","JJB1",
"25","MKl10",
"26","JCw53",
"32","KFi10",
"53","KFi10",
"40","RyS10",
"29","RyS10",
"25","JCw47",
"26","RM110",
"32","PtP10",
"41","SOS10",
"29","SOS10",
"25","ArL9",
"60","NNo13",
"26","TiH10",
"26","NNo16",
"26","EL31",
"25","EL32",
"32","EL33",
"32","JCw41",
"32","EL34",
"26","EL36",
"26","EL37",
"26","EL38",
"28","JCw44",
"26","EL39",
"26","ArH204",
"33","LHz20",
"60","ASi10",
"26","YMZ10",
"32","SCr10",
"28","RWa12",
"26","LHz15",
"27","BoS50",
"25","LHz18",
"26","JJA7",
"25","JJA8",
"37","JJA5",
"28","RWa10",
"27","SP6",
"27","SP5",
"28","MnP10",
"26","MnP10",
"28","NNo11",
"26","YMZ26",
"25","EL60",
"29","EL61",
"32","YMZ24",
"26","AlP10",
"25","EL62",
"25","JCw70",
"32","EL63",
"28","EL64",
"28","EL65",
"60","IWa7",
"35","ReH10",
"32","RBu10",
"36","RBu10",
"25","YMZ29",
"32","LaK9",
"32","EL67",
"34","ReH16",
"25","JCw73",
"28","EL68",
"28","EL69",
"35","RBu15",
"26","YMZ22",
"26","YMZ20",
"25","JCw75",
"33","AlP15",
"25","JCw69",
"25","JCw68",
"40","JoD11",
"26","CDr30",
"27","PaH52",
"25","LaJ9",
"25","CCo12",
"27","PaH53",
"27","TiB3",
"27","PaH54",
"32","VME8",
"27","TiB2",
"37","CCo14",
"25","EL51",
"27","PaH55",
"40","VME9",
"32","TiB1",
"29","EL52",
"25","LaJ5",
"29","EL53",
"29","EL54",
"27","PaH50",
"32","JoD12",
"38","JoD12",
"25","EL55",
"27","PaH51",
"32","JoD13",
"25","JCw63",
"28","EL56",
"29","EL56",
"28","JCw62",
"28","EL57",
"26","JCw61",
"25","EL58",
"25","JCw67",
"40","TiB8",
"25","JCw65",
"37","TiB6",
"26","KLe1",
"25","JCw64",
"32","TiB5",
"25","KoI8",
"28","AJo10",
"43","JCw57",
"25","KoI5",
"26","SR1",
"32","LaK2",
"37","JoD20",
"40","IWa1",
"33","IWa1",
"26","CDr40",
"40","IWa2",
"60","IWa2",
"40","FLg10",
"32","CCo10",
"27","LaK1",
"26","CCo11",
"40","CDr10",
"32","PHa10",
"26","PHa15",
"45","PaH60",
"45","PaH61",
"28","RoV15",
"32","ArH230",
"40","RoV13",
"41","ArH236",
"38","RoV10",
"25","SS1",
"26","CEd20",
"32","ArH227",
"25","RMu33",
"25","SS3",
"34","NF21",
"27","SS2",
"25","BMa10",
"34","SS5",
"25","SS4",
"27","BdP8",
"26","NoM10",
"32","RMu37",
"38","SS7",
"27","SS6",
"25","Z9810",
"34","SS9",
"26","NF27",
"32","SS8",
"36","NF29",
"32","BdP2",
"25","BdP1",
"34","NF25",
"32","RBu20",
"25","C30",
"32","TGA4",
"26","AxB10",
"34","DGr1",
"42","TGA2",
"28","DRu10",
"26","DRu10",
"32","ArH240",
"41","PHa25",
"33","PHa25",
"27","BRo7",
"25","RMu17",
"25","ArP6",
"25","RMu18",
"45","ArP5",
"25","UlG1",
"39","KOt10",
"25","RMu19",
"26","ArP4",
"25","UlG2",
"25","UlG3",
"25","ArP2",
"36","ArP1",
"26","TGA8",
"32","DRu15",
"25","TGA6",
"30","NF10",
"26","RMu25",
"28","IFa8",
"26","IFa8",
"32","Z9820",
"41","MAl5",
"26","NF16",
"30","NF12",
"43","C40",
"25","MAl2",
"32","NF13",
"30","NF13",
"32","NF14",
"30","NF14",
"32","BS1",
"40","BS1",
"28","BS4",
"41","TCl10",
"26","TCl10",
"25","ScM10",
"32","PRo96",
"30","PRo96",
"28","BS6",
"32","BS6",
"32","BS5",
"40","BS5",
"25","TiG3",
"32","BS8",
"35","BS8",
"37","TiG2",
"32","PRo93",
"30","PRo93",
"32","PRo90",
"30","PRo90",
"26","bQs30",
"32","MSt30",
"26","MSt30",
"25","BBr10",
"28","AKr10",
"51","MC11",
"25","HGL10",
"25","FWh10",
"25","RWa80",
"25","FNm40",
"25","MC15",
"32","KeA19",
"38","AAS10",
"25","MT10",
"27","ChH10",
"25","DHg10",
"35","GCh10",
"32","RlM10",
"25","MSt20",
"28","LOl4",
"26","LOl3",
"34","KeA10",
"26","LOl2",
"26","LOl1",
"41","xGc10",
"26","HDA6",
"41","RtB7",
"33","RtB7",
"26","AxS10",
"26","CEd10",
"30","NF30",
"26","RtB6",
"26","RtB5",
"32","HDA7",
"26","RtB4",
"26","RtB3",
"25","RtB2",
"25","RtB1",
"26","CDr9",
"32","FNm32",
"25","CDr5",
"32","RWa72",
"30","RWa72",
"32","FNm30",
"25","CDr2",
"26","RtB9",
"35","ALu30",
"41","RtB8",
"26","RtB8",
"33","SLJ14",
"26","AKa20",
"36","GCh20",
"25","C65",
"25","MkG15",
"26","SLJ11",
"90","MkG12",
"32","JoD26",
"35","GCh23",
"40","MkG10",
"26","SLJ12",
"40","IHk25",
"25","MSt10",
"26","MTU10",
"32","MRr5",
"41","IHk20",
"25","SW3",
"25","AVa17",
"26","SW2",
"41","AVa12",
"28","SW7",
"29","SW7",
"26","SW6",
"32","SW8",
"26","AVa10",
"33","AVa10",
"32","JoD30",
"28","SfG1",
"25","FNm20",
"35","IGy10",
"26","RcB8",
"32","AKa10",
"26","RcB5",
"25","C76",
"26","RcB3",
"27","RcB1",
"32","JoD34",
"26","KeR10",
"105","IHk10",
"32","AKa15",
"51","AKa15",
"25","RcB9",
"32","FNm18",
"25","DHx10",
"25","FNm16",
"25","FNm14",
"32","FNm12",
"32","FNm10",
"28","BW2",
"26","BW1",
"34","JoD40",
"39","JoD40",
"26","BW4",
"34","RWa90",
"26","BW3",
"33","MAp7",
"25","MRt3",
"26","BW5",
"26","MiA18",
"32","TPa10",
"60","TPa10",
"26","BW8",
"25","MRt5",
"25","C87",
"27","PRo55",
"32","BW7",
"26","BW7",
"32","MRt6",
"25","C89",
"26","BW9",
"25","MiA17",
"27","MiA11",
"34","KeA43",
"40","WLu15",
"32","MRt7",
"39","TPa15",
"32","MRt8",
"25","MRt9",
"26","Z1110",
"29","GMe10",
"28","PPz10",
"36","RyB18",
"25","RyB17",
"40","C91",
"25","RyB16",
"30","C94",
"28","RcB30",
"25","RyB11",
"27","MRs2",
"26","RyB10",
"25","RcB21",
"25","MRs4",
"40","AMg10",
"25","C98",
"29","RyB14",
"25","RcB25",
"26","RyB12",
"27","MRs1",
"25","MSt60",
"25","MRs6",
"36","IHk30",
"26","SBo10",
"40","RyS20",
"25","WLu10",
"45","MdV5",
"26","Z1120",
"25","SNa10",
"39","MtR10",
"28","MiR21",
"35","MiR21",
"26","TFg1",
"25","YYo10",
"41","ThE10",
"29","ThE10",
"25","BdY6",
"25","KeA29",
"32","BdY5",
"40","MRv6",
"32","BdY4",
"32","BdY3",
"25","KeA26",
"27","KeA25",
"40","TFi9",
"25","BdY1",
"40","MRv2",
"40","TFi8",
"34","KeA23",
"40","MRv4",
"45","JTh10",
"26","MSt53",
"26","bQs10",
"25","MSt55",
"26","bQs14",
"25","MSt50",
"41","RaM10",
"26","SpS10",
"28","RWa65",
"38","DoW97",
"28","LrA10",
"50","DoW95",
"41","MiR10",
"25","DoW99",
"34","KeA38",
"32","PRo86",
"30","PRo86",
"34","KeA36",
"32","PRo83",
"30","PRo83",
"34","KeA34",
"35","KeA32",
"26","bQs20",
"34","KeA31",
"32","PRo80",
"30","PRo80",
"25","KeA30",
"26","bQs25",
"28","MSt40",
"26","bQs23",
"25","VoS2",
"26","FFC29",
"27","DoW82",
"26","IWk3",
"45","IWk3",
"27","DoW80",
"25","ClC60",
"25","VoS8",
"26","IWk1",
"27","DoW81",
"41","FFC20",
"27","IWk5",
"28","RWa50",
"25","TFi3",
"35","RcB40",
"40","FFC26",
"35","FFC24",
"26","FFC24",
"36","GM200",
"26","WaW5",
"34","DM230",
"25","LeL25",
"28","JSv15",
"39","CSm10",
"28","WaW2",
"30","WaW1",
"35","WWn170",
"26","WaW4",
"34","LeL20",
"26","WaW3",
"25","ELC2",
"132","JSv10",
"25","DoW70",
"41","ClC50",
"25","FFC11",
"26","FFC10",
