id,name
"32","Comd",
"43","Epic",
"84","S.F.",
"64","stage musical",
"140","Dram.Actn",
"30","Myst",
"31","susp",
"80","CmR",
"119","Axtn",
"120","SxFi",
"132","UnDr",
"98","AvGa",
"103","Scfi",
"82","dram",
"46","DRam",
"77","DRAM",
"94","DraM",
"59","Surl",
"92","BiopP",
"69","ram",
"35","Actn",
"95","CnR",
"79","Muscl",
"112","Hor",
"76","Homo",
"68","Draam",
"145","anti-Dram",
"75","comd",
"85","actn",
"133","Expm",
"87","RFP; H*",
"143","verite",
"45","CnRb",
"123","BioPP",
"29","Musc",
"72","Psych Dram",
"52","BioG",
"67","CnRbb",
"127","Sati",
"121","BioB",
"83","H",
"58","SciF",
"114","Psyc",
"122","Kinky",
"108","porn",
"74","Comdx",
"101","Weird",
"144","Romt Dram",
"34","Advt",
"117","CA",
"139","Romt. Comd",
"147","Docu Dram",
"39","Cart",
"42","Hist",
"61","surreal",
"49","Cond",
"47","Surr",
"148","Road",
"138","Allegory",
"73","Ctxx",
"136","Romt Actn",
"62","RomtAdvt",
"146","Act",
"38","ScFi",
"56","txx",
"41","BioP",
"27","Susp",
"26","Dram",
"33","Docu",
"86","FantH*",
"90","TV",
"126","Romtx",
"91","Scat",
"40","Horr",
"96","H**",
"99","Comd West",
"78","romt",
"53","Disa",
"66","Avant Garde",
"70","Ctcxx",
"50","Romt Comd",
"93","Mystp",
"44","Biop",
"102","noir",
"131","Faml",
"124","TVmini",
"63","Ctxxx",
"71","Dramn",
"142","Porb",
"134","Noir Comd Romt",
"89","Natu",
"130","Comd Noir",
"104","Dramd",
"107","Cult",
"54","West1",
"60","Porn",
"57","Camp",
"135","Art Video",
"37","Fant",
"118","BioPx",
"125","Ducu",
"109","Ront",
"55","Adctx",
"65","Muusc",
"88","musc",
"110","Sctn",
"48","Crim",
"129","Romt Fant",
"106","Dram>",
"116","Viol",
"28","Romt",
"113","sports",
"36","West",
"111","Dist",
"100","H0",
"97","Bio",
"115","Adct",
"105","fant",
"51","Noir",
"141","Noir Comd",
"137","Dram Docu",
"128","Dicu",
"81","Duco",
