id,title,year,director
"HCP6","The Story of Vernon and Irene Castle","1939","H.Potter"
"MBr10","Beverly Hills Cop","1984","Brest"
"HCP5","Congo Maisie","1938","H.Potter"
"DeJ32","Blue","1994","Jarman"
"DeJ30","Wittgenstein","1993","Jarman"
"StN10","Paris, Roman d'une Ville","1991","S.Neumann"
"MMr10","Roger and Me","1990","M.Moore"
"TG42","The Delta Factor","1970","Garnett"
"WRe40","Daffy Duck's Quackbusters","1988","Reitherman"
"Z9830","Merlin","1998","UnYear98"
"BSc11","Koko, the Talking Gorilla","1977","Schroeder"
"FGi10","L'Etat Sauvage","1978","Girod"
"GTz10","Antigone","1961","Tzavellas"
"SE1","Glumov's Diary","1924","Eisenstein"
"HBn5","Ivanhoe","1913","Brenon"
"SE3","Strike","1924","Eisenstein"
"LVa10","La Bamba","1987","Valdez"
"KvB10","A Dog of Flanders","1999","Brodie"
"DeJ28","Edward II","1992","Jarman"
"SE4","Bronenosets Potemkin","1925","Eisenstein"
"HBn8","Neptune's Daughter","1914","Brenon"
"SE6","Oktober","1927","Eisenstein"
"SE8","Staroye i Novoye","1928","Eisenstein"
"DeJ20","The Last of England","1987","Jarman"
"GTi10","Soul Food","1997","Tillman"
"FNK2","So Ein M\"adel Vergisst Man Nicht","1933","Kortner"
"LVa12","Zoot Suit","1995","Valdez"
"BSc28","Single White Female","1992","Schroeder"
"FNK6","Lysistrata","1962","Kortner"
"IF135","Seven Women","1966","J.Ford"
"TG32","A Connecticut Yankee in King Arthur's Court","1949","Garnett"
"SRm10","The Velvet Vampire","1971","Rothman"
"Z9845","Might Joe Young","1998","UnYear98"
"TG30","The Postman Always Rings Twice","1946","Garnett"
"BSc20","Barfly","1987","Schroeder"
"WiW30","Buena Vista Social Club","0","Wenders"
"MBr19","Scent of a Woman","1992","Brest"
"Z9840","Major League, Back to the Minors","1998","UnYear98"
"WRe35","The Many Adventures of Winnie-the-Pooh","1983","Reitherman"
"BSc25","Reversal of Fortune","1990","Schroeder"
"MBr14","Midnight Run","1988","Brest"
"HCP1","Beloved Enemy","1936","H.Potter"
"TG39","The Black Knight","1954","Garnett"
"HCP4","The Shopworn Angel","1938","H.Potter"
"WRe38","The Great Mouse Detective","1986","Reitherman"
"DeJ10","Jubilee","1978","Jarman"
"CBl73","Signed: Lino Brocka","1987","Blackwood"
"WiF10","John and Julie","1955","Fairchild"
"CBl70","My Life for Zarah Leander","1986","Blackwood"
"RbR1","This is Spinal Tap","1983","R.Reiner"
"BE2","He Laughed Last","1956","B.Edwards"
"BE1","Bring your Smile Along","1955","B.Edwards"
"BE4","This Happy Feeling ","1958","B.Edwards"
"BE3","Mister Cory","1957","B.Edwards"
"WiW27","The End of Violence","1997","Wenders"
"BE6","Operation Petticoat","1959","B.Edwards"
"BE5","The Perfect Furlough","1959","B.Edwards"
"WiW25","Until the End of the World","1992","Wenders"
"BE8","Breakfast at Tiffany's","1961","B.Edwards"
"BE7","High Time","1960","B.Edwards"
"RbR2","Stand By Me","1986","R.Reiner"
"BE9","Experiment in Terror","1962","B.Edwards"
"RbR3","The Princess Bride","1987","R.Reiner"
"WRe20","The Jungle Book","1967","Reitherman"
"WiW20","Wings of Desire","1988","Wenders"
"J2B70","La Poison","2000","J.Becker2"
"Z9850","The Perfect Crime","1998","UnYear98"
"IMz10","The Long Good Friday","1980","Mackenzie"
"WRe25","The Aristocats","1970","Reitherman"
"DeJ18","The Angelic Conversation","1985","Jarman"
"OtV10","Virginity","1937","Vavra"
"CBl80","Motel","1989","Blackwood"
"BSt10","Innocent Blood","1993","Streisand"
"GM190","The Goldwyn Follies","1938","Geo.Marshall"
"BSt15","The Mirror Has Two Faces","1996","Streisand"
"BF5","Sweet Charity","1968","Fosse"
"MRa1","Retour \'a la raison","1923","Man~Ray"
"MRa2","Emak Bakia","1927","Man~Ray"
"BF7","Lenny","1974","Fosse"
"MRa3","L'Etoile de mer","1929","Man~Ray"
"BF6","Cabaret","1972","Fosse"
"BF9","Star 80","1983","Fosse"
"BF8","All That Jazz","1979","Fosse"
"SiN10","New York Nights","1983","Nuchtern"
"HyM10","Princess Mononoke","1999","Miyazaki"
"Z9865","The Mighty","1998","UnYear98"
"WRe10","101 Dalmatians","1961","Reitherman"
"WiW12","Paris, Texas","1984","Wenders"
"RA22","Grey Owl","1999","Attenborough"
"CWi10","So Lang noch ein Waltzer von Strauss Erklingt","1931","C.Wiene"
"IMi10","Red Dawn","1984","Milius"
"NCo11","The Return of the Incredible Hulk","1988","Corea"
"WaC1","Grim Prarie Tales","1990","W.Coe"
