starId,movieId
"nm9423311","HCP6",
"nm9428453","HCP6",
"nm9427770","HCP6",
"nm9423792","HCP6",
"nm9434591","HCP6",
"nm9425379","HCP6",
"nm9427135","HCP6",
"nm9427547","MBr10",
"nm9428297","MBr10",
"nm9424894","MBr10",
"nm9437404","MBr10",
"nm9424389","MBr10",
"nm9424913","MBr10",
"nm9428036","MBr10",
"nm9423598","MBr10",
"nm9437407","MBr10",
"nm9428933","HCP5",
"nm9424059","HCP5",
"nm9430448","HCP5",
"nm9434589","HCP5",
"nm9434590","HCP5",
"nm9427512","HCP5",
"nm9424221","HCP5",
"nm9432409","DeJ32",
"nm9429153","DeJ32",
"nm9432410","DeJ32",
"nm0","DeJ30",
"nm9440539","StN10",
"nm0","MMr10",
"nm0","TG42",
"nm9441469","WRe40",
"nm9431981","WRe40",
"nm9428812","Z9830",
"nm9424071","Z9830",
"nm9431171","Z9830",
"nm9431475","BSc11",
"nm9423785","FGi10",
"nm9433358","FGi10",
"nm9428019","FGi10",
"nm9423443","FGi10",
"nm9427883","GTz10",
"nm0","SE1",
"nm0","HBn5",
"nm9440124","SE3",
"nm9440125","SE3",
"nm9440126","SE3",
"nm9433213","LVa10",
"nm9437283","LVa10",
"nm9437284","LVa10",
"nm9437285","LVa10",
"nm9427880","LVa10",
"nm9430145","LVa10",
"nm0","KvB10",
"nm9432405","DeJ28",
"nm9431935","DeJ28",
"nm9429153","DeJ28",
"nm9432406","DeJ28",
"nm9429964","DeJ28",
"nm9432407","DeJ28",
"nm9432408","DeJ28",
"nm9440127","SE4",
"nm9440128","SE4",
"nm9440129","SE4",
"nm9440130","SE4",
"nm9426324","HBn8",
"nm9434547","HBn8",
"nm9434548","HBn8",
"nm9434549","HBn8",
"nm9434550","HBn8",
"nm9434551","HBn8",
"nm9434552","HBn8",
"nm9434553","HBn8",
"nm9434554","HBn8",
"nm9434555","HBn8",
"nm9434556","HBn8",
"nm0","SE6",
"nm0","SE8",
"nm0","DeJ20",
"nm9434284","GTi10",
"nm9434285","GTi10",
"nm9434286","GTi10",
"nm9434287","GTi10",
"nm9431650","GTi10",
"nm0","FNK2",
"nm9437286","LVa12",
"nm9425117","BSc28",
"nm9426682","BSc28",
"nm9431481","BSc28",
"nm9431482","BSc28",
"nm9430679","BSc28",
"nm0","FNK6",
"nm9435136","IF135",
"nm9428440","IF135",
"nm9426685","IF135",
"nm9435137","IF135",
"nm9424832","IF135",
"nm9425057","IF135",
"nm9426648","IF135",
"nm9423142","IF135",
"nm9427127","IF135",
"nm9429107","IF135",
"nm9429369","IF135",
"nm9424425","TG32",
"nm9425676","TG32",
"nm9425106","TG32",
"nm9440730","TG32",
"nm9429734","TG32",
"nm9429526","TG32",
"nm9429894","SRm10",
"nm9423679","SRm10",
"nm9427313","SRm10",
"nm0","Z9845",
"nm9429383","TG30",
"nm9425277","TG30",
"nm9426320","TG30",
"nm9424424","TG30",
"nm9423194","TG30",
"nm9429321","TG30",
"nm9428263","TG30",
"nm9428502","BSc20",
"nm9424816","BSc20",
"nm9426487","BSc20",
"nm9427579","BSc20",
"nm9431476","BSc20",
"nm9431477","BSc20",
"nm9431478","BSc20",
"nm9425024","BSc20",
"nm9441394","WiW30",
"nm9441395","WiW30",
"nm9441396","WiW30",
"nm9427848","MBr19",
"nm9427750","MBr19",
"nm9434920","MBr19",
"nm9430011","MBr19",
"nm9431669","Z9840",
"nm9441777","Z9840",
"nm9441778","Z9840",
"nm9441779","Z9840",
"nm9441778","Z9840",
"nm9429964","Z9840",
"nm9429964","Z9840",
"nm9441780","Z9840",
"nm9425929","WRe35",
"nm9426095","BSc25",
"nm9424225","BSc25",
"nm9428835","BSc25",
"nm9431479","BSc25",
"nm9423416","BSc25",
"nm9425598","BSc25",
"nm9430555","BSc25",
"nm9431480","BSc25",
"nm9430330","BSc25",
"nm0","MBr14",
"nm9423130","HCP1",
"nm9427722","HCP1",
"nm9427668","HCP1",
"nm9427470","HCP1",
"nm9424386","HCP1",
"nm9429010","HCP1",
"nm9424419","HCP1",
"nm9423929","TG39",
"nm9440731","TG39",
"nm9429049","HCP4",
"nm9429116","HCP4",
"nm9428031","HCP4",
"nm9427164","HCP4",
"nm9426715","HCP4",
"nm9427960","HCP4",
"nm9428128","WRe38",
"nm9423250","DeJ10",
"nm9429746","DeJ10",
"nm9428521","DeJ10",
"nm9427607","DeJ10",
"nm9432404","DeJ10",
"nm9431698","CBl73",
"nm9425348","WiF10",
"nm9424798","WiF10",
"nm9428715","WiF10",
"nm9426757","WiF10",
"nm9429709","WiF10",
"nm9431963","WiF10",
"nm9424437","WiF10",
"nm9431697","CBl70",
"nm9428295","RbR1",
"nm9425563","RbR1",
"nm9428769","RbR1",
"nm9427198","RbR1",
"nm9423554","RbR1",
"nm9426927","RbR1",
"nm9424441","RbR1",
"nm9429745","RbR1",
"nm9423525","RbR1",
"nm9425856","RbR1",
"nm9428741","RbR1",
"nm9425356","RbR1",
"nm0","BE2",
"nm0","BE1",
"nm9428322","BE4",
"nm9426248","BE4",
"nm9428629","BE4",
"nm9428885","BE4",
"nm9423316","BE4",
"nm9429822","BE4",
"nm9424724","BE4",
"nm0","BE3",
"nm9441391","WiW27",
"nm9431485","WiW27",
"nm9431241","WiW27",
"nm9441392","WiW27",
"nm9429964","WiW27",
"nm0","BE6",
"nm0","BE5",
"nm9426059","WiW25",
"nm9431788","WiW25",
"nm9427446","WiW25",
"nm9429520","WiW25",
"nm9441389","WiW25",
"nm9425836","BE8",
"nm9427967","BE8",
"nm9427596","BE8",
"nm9428480","BE8",
"nm9424867","BE8",
"nm9427181","BE8",
"nm9423401","BE8",
"nm9431127","BE8",
"nm9431128","BE8",
"nm9428264","BE8",
"nm9429964","BE8",
"nm0","BE7",
"nm9428018","RbR2",
"nm9425132","BE9",
"nm9428302","BE9",
"nm9429964","BE9",
"nm9427054","BE9",
"nm9430822","RbR3",
"nm9427914","RbR3",
"nm9428611","RbR3",
"nm9425563","RbR3",
"nm9428764","RbR3",
"nm9439066","RbR3",
"nm9428618","RbR3",
"nm9429870","RbR3",
"nm9424981","RbR3",
"nm9424330","RbR3",
"nm9428901","RbR3",
"nm9424441","RbR3",
"nm9426265","RbR3",
"nm9439067","RbR3",
"nm9439068","RbR3",
"nm9428594","WRe20",
"nm9425707","WRe20",
"nm9434188","WRe20",
"nm9423949","WRe20",
"nm9425929","WRe20",
"nm9425266","WiW20",
"nm9441389","WiW20",
"nm9441390","WiW20",
"nm9423697","WiW20",
"nm9424981","WiW20",
"nm9435622","J2B70",
"nm9441781","Z9850",
"nm9429964","Z9850",
"nm9441782","Z9850",
"nm9429964","Z9850",
"nm9425741","IMz10",
"nm9427032","IMz10",
"nm9429252","IMz10",
"nm9427363","IMz10",
"nm9435388","IMz10",
"nm9435389","IMz10",
"nm9433940","IMz10",
"nm9435390","IMz10",
"nm9425929","WRe25",
"nm0","DeJ18",
"nm0","OtV10",
"nm9431699","CBl80",
"nm0","BSt10",
"nm9423383","GM190",
"nm9429938","GM190",
"nm9430184","GM190",
"nm9427261","GM190",
"nm9434023","GM190",
"nm9434024","GM190",
"nm9434025","GM190",
"nm9431043","GM190",
"nm9434026","GM190",
"nm9432627","GM190",
"nm9424386","GM190",
"nm9429688","GM190",
"nm9426672","GM190",
"nm9429103","BSt15",
"nm9423807","BSt15",
