id,name,birthYear
"nm9431037","David J. Stewart","NULL",
"nm9428739","Glen Shadix","NULL",
"nm9423642","Julie Bishop","1914",
"nm9425144","Rudolph Forster","1884",
"nm9433642","Jean Champion","NULL",
"nm9436042","Chris Ellis","NULL",
"nm9434675","Oyafunmike Ogunlano","NULL",
"nm9428982","Pauline Starke","1901",
"nm9437760","Anna Cromwell","NULL",
"nm9437257","Lauren Tom","NULL",
"nm9433189","Lee vanCleef","NULL",
"nm9438588","Emily Woof","NULL",
"nm9440639","Maddie Corman","NULL",
"nm9437216","Rosamund Greenwood","NULL",
"nm9437229","Juan DeLaCruz","NULL",
"nm9425858","Christopher Hewett","NULL",
"nm9429398","Cicely Tyson","1933",
"nm9431231","Iam McNiece","NULL",
"nm9435547","Maggie Cousineau-Arndt","NULL",
"nm9438346","Sibham McKenna","NULL",
"nm9432647","Badi Uzzama","NULL",
"nm9433184","Stefano Satta Flores","NULL",
"nm9423168","William Alland","1916",
"nm9424664","Vittorio DeSica","1901",
"nm9436162","Pierre Bourgault","NULL",
"nm9434579","Grainger Hines","NULL",
"nm9435375","Timmerman","NULL",
"nm9432013","Chalie Martin Smith","NULL",
"nm9424521","Ray Danton","1931",
"nm9427957","Pina Pellicer","NULL",
"nm9426840","Dyson Lovell","NULL",
"nm9440111","Alan Drummond","NULL",
"nm9423441","Maria Barranco","NULL",
"nm9429695","Arleen Whelan","1916",
"nm9433101","Frank Aragon","NULL",
"nm9440611","Cathryn Caviness","NULL",
"nm9439151","Country Joe and the Fish","NULL",
"nm9425784","Robert Hays","1948",
"nm9428426","Robbie Robertson","NULL",
"nm9428247","Bertice Reading","NULL",
"nm9429542","Raymond Walburn","1887",
"nm9425155","Julia Foster","1941",
"nm9435041","Maximilan Schell","NULL",
"nm9424266","William Collier","1866",
"nm9432310","Phillipe DeLacy","NULL",
"nm9429592","Jennifer Warren","1941",
"nm9436926","Artur Barcis","NULL",
"nm9441333","Debra Feuer","NULL",
"nm9427784","Patrick ONeal","1927",
"nm9441203","Dick Dale","NULL",
"nm9438728","Emmet Walsh","NULL",
"nm9440885","Tran Nu YenKhe","NULL",
"nm9425848","Leila Hermosa","NULL",
"nm9439643","Vann Gravage","NULL",
"nm9434630","Jimmy Gleason","NULL",
"nm9435768","Marcel Lupovici","NULL",
"nm9429331","William Tracy","1917",
"nm9435408","Bengt Ekerod","NULL",
"nm9426746","Max Linder","1883",
"nm9441494","Val Bosoglio","NULL",
"nm9436181","Gloria Mejia","NULL",
"nm9433805","Rob Roy","NULL",
"nm9434838","George Furth","NULL",
"nm9438708","Irvin Allen","NULL",
"nm9439564","Ernst Borgnine","NULL",
"nm9436844","Frank Military","NULL",
"nm9435054","Jimmy Finlayson","NULL",
"nm9427360","Irene Miracle","NULL",
"nm9431242","Ulf Friberg","NULL",
"nm9434902","Claudia Dell","NULL",
"nm9426874","Ida Lupino","1914",
"nm9439077","Anna Devere Smith","NULL",
"nm9429254","Emma Thompson","NULL",
"nm9436642","Gregg Weaver","NULL",
"nm9439920","Judith Flex","NULL",
"nm9439324","Leo Lissek","NULL",
"nm9439249","Michael Francis Clarke","NULL",
"nm9436393","Marc Michel","NULL",
"nm9439850","Caroline Lang","NULL",
"nm9434930","Anthony Steele","NULL",
"nm9436329","Scott Zeller","NULL",
"nm9424690","Angie Dickinson","1931",
"nm9428072","Snub Pollard","1886",
"nm9428235","Rene Ray","1912",
"nm9428872","Olga Slade","NULL",
"nm9433571","Ruggiero Raimondi","NULL",
"nm9433597","Bruce Myles","NULL",
"nm9440792","Rick Rossotich","NULL",
"nm9434441","Mogens Wieth","NULL",
"nm9438047","Lucinda Jenny","NULL",
"nm9435659","John Hobbs~jr","NULL",
"nm9441229","Victor Wang","NULL",
"nm9427572","Anne Nagel","1912",
"nm9435855","Mitzi Green","NULL",
"nm9429904","Burt Young","NULL",
"nm9430438","Elena Verdugo","NULL",
"nm9436993","Bernard Mazzinghi","NULL",
"nm9427063","Lee Marvin","1924",
"nm9428312","Dan Resin","NULL",
"nm9425134","Paul Ford","1901",
"nm9432759","Phillip Carter","NULL",
"nm9438395","Stephen Fung","NULL",
"nm9440871","Ron Jeremy","NULL",
"nm9435445","Sam Huntington","NULL",
"nm9434310","Sarita Khajuria","NULL",
"nm9437990","Lionel Pape","NULL",
"nm9423750","David Bowie","1947",
"nm9425107","Cyril Fletcher","1913",
"nm9432693","Leigh Taylor-Young","NULL",
"nm9430387","Kyo Machiko","NULL",
"nm9431961","Godfrey Teale","NULL",
"nm9425695","Barbara Harris","1936",
"nm9427602","Liam Neeson","NULL",
"nm9433339","Willie Brown","NULL",
"nm9439523","Basil Wallace","NULL",
"nm9423699","Ray Bolger","1904",
"nm9428817","Richard B. Shull","NULL",
"nm9425143","Robert Forster","1942",
"nm9430298","Cathy Motiarty","NULL",
"nm9441617","Chika Awashima","NULL",
"nm9427195","Stephen McHattie","NULL",
"nm9440068","Emile Chatard","NULL",
"nm9440112","Dylan Brown","NULL",
"nm9441674","Kamuela C. Searle","NULL",
"nm9427420","Dennis Moore","NULL",
"nm9435834","Gwyneth Palthrow","NULL",
"nm9425669","Haya Harareet","1934",
"nm9424810","Jane Dulo","NULL",
"nm9436311","Heather Mitchell","NULL",
"nm9435203","Friedrich Ledebur","NULL",
"nm9431415","Helen Stanton","NULL",
"nm9424337","Miriam Cooper","1900",
"nm9428161","John Qualen","NULL",
"nm9438137","Amanda Peet","NULL",
"nm9425587","Dolly Haas","1910",
"nm9427035","E.G. Marshall","1910",
"nm9433437","Robert Malone","NULL",
"nm9437798","David Bower","NULL",
"nm9436941","Mare Winningham","NULL",
"nm9429081","Ivory Stone","NULL",
"nm9438242","Leslie Neilson","NULL",
"nm9441523","Donelly","NULL",
"nm9426295","Danny Kaye","1913",
"nm9438444","Gabriele Fezetti","NULL",
"nm9431993","Isabelle Pia","NULL",
"nm9441603","Cao Cuifen","NULL",
"nm9429720","Peter Whitney","1916",
"nm9425546","Dan Grimaldi","NULL",
"nm9431453","Elizabeth Wien","NULL",
"nm9439779","Ken Christy","NULL",
"nm9432112","Andre Dussollier","NULL",
"nm9439333","Laurene London","NULL",
"nm9430854","Suman Ranganathan","NULL",
"nm9423430","Marcie Barkin","NULL",
"nm9435129","Cathy Down","NULL",
"nm9432351","Samantha Eggert","NULL",
"nm9429838","Arthur Wontner","1875",
"nm9424332","Alice Cooper","NULL",
"nm9438705","Sylvana Henriques","NULL",
"nm9424629","Maria deMadeiros","NULL",
"nm9431761","Jacques P\'errin","NULL",
"nm9423961","Rory Calhoun","1922",
"nm9428435","Edward G. Robinson","1893",
"nm9428566","Stephen Sachs","NULL",
"nm9435561","Diane Vacaru","NULL",
"nm9441130","Ferdinand Marian","NULL",
"nm9432281","Rolf Lassgard","NULL",
"nm9424794","Joanne Dru","1923",
"nm9433005","Margaret Fealy","NULL",
"nm9434849","Dann Florek","NULL",
"nm9425469","Margot Grahame","1911",
"nm9436936","Amy Wright","NULL",
"nm9439430","Barton McLaine","NULL",
"nm9426669","Pinky Lee","NULL",
"nm9423656","Janet Blair","1921",
"nm9431486","Nicholas Cage","NULL",
"nm9429724","Richard Whorf","1906",
"nm9436991","Francois Morel","NULL",
"nm9435161","Katerina Witt","NULL",
"nm9437885","Ina balin","NULL",
"nm9423592","Harold Bergman","NULL",
"nm9435638","Teller","NULL",
"nm9439422","Harris Gulin","NULL",
"nm9438419","Richard M. Nixon","NULL",
"nm9435226","Erin Flannery","NULL",
"nm9429481","John Vernon","1935",
"nm9438382","Portland Mason","NULL",
"nm9439803","Richard Evans","NULL",
"nm9434073","Leopold Kramer","NULL",
"nm9430169","Jack Richardson","NULL",
"nm9431063","Francis deWolff","NULL",
"nm9427348","Martin Milner","1927",
"nm9435202","Marco Tulli","NULL",
"nm9432814","Cynthia Gibb","NULL",
"nm9428567","Michael Sacks","NULL",
"nm9440041","David L. Lander","NULL",
"nm9423555","Richard Benedict","1916",
"nm9427506","Peggy Mount","1916",
"nm9433506","I.Stanford Jolley","NULL",
"nm9426497","Vivian Kubrick","NULL",
"nm9434503","Dana Barron","NULL",
"nm9439280","Darcy Corrigan","NULL",
"nm9438066","Patty Yatsutake","NULL",
"nm9424825","James Dunn","1905",
"nm9435486","Michel Ray","NULL",
"nm9425220","Morgan Freeman","NULL",
"nm9441351","Les Lannow","NULL",
"nm9432021","Erik Bruhn","NULL",
"nm9434114","Laila Morse","NULL",
"nm9439252","Saffrom Burrows","NULL",
"nm9439705","Tomothy Carhart","NULL",
"nm9428177","Kurt Raab","NULL",
"nm9436094","Bernard Noel","NULL",
"nm9433871","Ben Soutten","NULL",
"nm9432998","Phillippe deLacy","NULL",
"nm9437066","Hugette Duclos","NULL",
"nm9433930","Joe Spano","NULL",
"nm9438741","Tia Carriere","NULL",
"nm9424715","Joe Dobisch","NULL",
"nm9430209","Jaques Sojcher","NULL",
"nm9432114","Maurice Garrel","NULL",
"nm9432282","Niklas Hjulstrom","NULL",
"nm9433358","Jaques Dutronc","NULL",
"nm9430660","Suasanna Foster","NULL",
"nm9438257","Peter Lazer","NULL",
"nm9425703","Leigh Harris","NULL",
"nm9434769","Ruth Terry","NULL",
"nm9427060","Nino Martini","1904",
"nm9427289","Ralph Michael","1907",
"nm9423504","Louise Beavers","1902",
"nm9430243","Ashot Adamian","NULL",
"nm9436644","jack Webb","NULL",
"nm9440259","Lawrence Dobkin","NULL",
"nm9434510","Billy Chrystal","NULL",
"nm9433901","Ramon Novorro","NULL",
"nm9423363","Pamela Bach","1962",
"nm9439216","Winnie Lightner","NULL",
"nm9425617","Robert Hale","NULL",
"nm9427803","Yoko Ono","NULL",
"nm9433915","Yvonne Lime","NULL",
"nm9438586","Hugo Speer","NULL",
"nm9427162","Jody McCrea","NULL",
"nm9432171","Siegfried Breuer","NULL",
"nm9423467","James Barton","1890",
"nm9428350","John Richardson","1936",
"nm9426442","Robert Klein","NULL",
"nm9429575","Jimmy WangYu","NULL",
"nm9441477","Rogney Bewes","NULL",
"nm9441382","Christopher Geoge","NULL",
"nm9433113","Roscoe Collins","NULL",
"nm9431414","Paul Onsongo","NULL",
"nm9430889","Peter Breck","NULL",
"nm9432280","Kjell Bergquist","NULL",
"nm9428384","John Ritter","1948",
"nm9439726","Monica Keena","NULL",
"nm9423972","Godfrey Cambridge","1929",
"nm9428252","William Redfield","NULL",
"nm9439926","Daisy Belmore","NULL",
